resumption of the session	reanudación del período de sesiones
i admit that , at present , the matter seems to be somewhat confused .	le confieso que , de momento , las cosas me parecen un tanto confusas .
we shall therefore look into it properly to ensure that everything is as it should be .	por consiguiente , vamos a revisarlas con seriedad para que todo esté en orden .
madam president , i should like to know if there will be a clear message going out from parliament this	señora presidenta , me gustaría saber si el parlamento emitirá esta semana un comunicado claro sobre el descontento por la
today 's decision not to renew the embargo is extremely dangerous considering the situation there .	la decisión de hoy de no renovar el embargo es extremadamente peligrosa teniendo en cuenta la situación de ese país
so parliament should send a message , since that is the wish of the vast majority .	por lo tanto , el parlamento debe enviar un mensaje , ya que ése es el deseo de la inmensa
it is irresponsible of eu member states to refuse to renew the embargo .	es irresponsable por parte de los estados miembros de la ue negarse a renovar el embargo .
as people have said , the situation there is extremely volatile .	como ha dicho la gente , la situación allí es extremadamente precaria .
there is , in fact , a risk of a military coup in the future .	de hecho , existe el riesgo de un golpe militar en el futuro .
we do not know what is happening .	no sabemos lo que está ocurriendo allí .
so why should eu arms producers profit at the expense of innocent people ?	¿por qué tienen que beneficiarse los productores de armas de la ue a expensas de gente inocente ?
in any event , this question is not presently included among the requests for topical and urgent debate on thursday	en cualquier caso , este tema no figura ahora mismo entre las demandas de urgencia para el jueves próximo .
agenda	orden de los trabajos
the next item is the verification of the final version of the draft agenda as drawn up by the conference	de conformidad con el orden del día , se procede a examinar el proyecto definitivo de orden del día ,
no amendments have been proposed relating to monday and tuesday .	en lo relativo al lunes y al martes , no hay modificaciones .
relating to wednesday :	miércoles :
the group of the party of european socialists requests that a commission statement be included on its strategic objectives for	el grupo del partido de los socialistas europeos solicita que se incluya una declaración de la comisión sobre sus objetivos
i would like mr barón crespo , who made the request , to speak to propose it . that is	desearía que el sr. barón crespo , autor de la petición , interviniera para justificarla , si a él le
then we shall follow the usual procedure , hearing one speaker in favour and one against .	como siempre , escucharemos a un orador a favor y a otro en contra .
madam president , the presentation of the prodi commission ' s political programme for the whole legislature was initially a	señora presidenta , la presentación del programa político de la comisión prodi para toda la legislatura fue inicialmente una propuesta
this commitment is important because the commission is a body with a monopoly of initiative in accordance with the treaties	tiene importancia este compromiso en la medida en que la comisión es un organismo que tiene el monopolio de la
i would also like to point out , madam president , that this parliament voted to express its confidence in	recuerdo además , señora presidenta , que este parlamento votó en dos ocasiones en la anterior legislatura su confianza en
there has therefore been enough time for the commission to prepare its programme and for us to become familiar with	por lo tanto , ya ha habido tiempo suficiente para que la comisión prepare su programa y para que nosotros
to this end , i would like to remind you of the resolution of 15 september , which recommended that	en este sentido recuerdo la resolución del 15 de septiembre , en la que se recomendaba que se presentara la
the events of last week - which originated outside the conference of presidents , that conference being used simply to	los hechos ocurridos la semana pasada -que se han originado al margen de la conferencia de presidentes y utilizándola sólo
according to its president , it is in a position to do so .	según palabras de su presidente , está en condiciones de hacerlo .
given that the commission is represented by vice-president de palacio , i believe that , before voting , it would	dado que la comisión está representada por la vicepresidenta , sra . de palacio , creo que antes de votar
in my opinion , this second hypothesis would imply the failure of parliament in its duty as a parliament ,	en mi opinión , esta segunda hipótesis significaría hacer dejación de nuestras responsabilidades como parlamento , además de introducir una
my group believes that since a parliament is meant to listen , debate and reflect , there can be no	como mi grupo opina que un parlamento está hecho para escuchar , para debatir y para reflexionar , pensamos que
therefore , the proposal of the group of the party of european socialists , and which you have mentioned ,	por lo tanto , la propuesta que hace el grupo del partido de los socialistas europeos y que su señoría
therefore , madam president , i would ask you to request that the commission express its opinion on this issue	por lo tanto , le ruego , señora presidenta , que pida a la comisión que se manifieste en este
( applause from the pse group )	( aplausos del grupo pse )
madam president , i would like to make it very clear that , above all , the commission has absolute	. señora presidenta , quiero dejar muy claro que , ante todo , la comisión tiene el máximo respeto por
we therefore respect whatever parliament may decide .	por lo tanto , nosotros respetamos lo que en este sentido pueda decidir el parlamento .
but i would also like to make it very clear that president prodi made a commitment to this parliament to	pero quiero dejar también muy claro que el presidente prodi se comprometió con el parlamento a incorporar un nuevo debate
madam president , i would like to say that the agreement reached in september distinguished this debate from the annual	quiero decir , señora presidenta , que este debate se distinguía , en el acuerdo al que se llegó en
i would also like to say that the commission is prepared and ready to hold this debate whenever it is	y quiero decir , señora presidenta , que , por parte de la comisión , estamos preparados y dispuestos a
therefore , madam president , i would like to repeat that the commission has debated the action plan for the	por lo tanto , señora presidenta , quiero reiterar que , por nuestra parte , hemos debatido el programa de
i propose that we vote on the request of the group of the party of european socialists that the commission	propongo que votemos la petición del grupo del partido de los socialistas europeos para volver a incluir la declaración de
( parliament rejected the request ) president .	( el parlamento rechaza la petición ) el presidente .
still on the subject of wednesday ' s sitting , i have another proposal regarding the oral question on capital	sobre el tema del miércoles , tengo otra propuesta relativa a la pregunta oral sobre el impuesto al capital .
the ppe-de group is requesting that this item be taken off the agenda .	el grupo ppe-de solicita que se retire este punto del orden del día .
is there a member who wishes to speak on behalf of this group to propose this ?	¿algún colega tomará la palabra en nombre del grupo para justificar esta petición ?
madam president , i can hear a ripple of laughter from the socialists .	señora presidenta , escucho algunas risas entre los socialistas .
i was told that large sections of the socialist group were also keen to have this item taken off the	me han dicho que también amplios círculos del grupo socialista ven de buen grado la supresión de este punto del
i do not know whether this information is correct , but the ppe-de group would , in any case ,	ignoro si esta información es correcta , pero nosotros como grupo del ppe/de agradeceríamos en cualquier caso que se suprimiera
decisions have also been adopted against a tax of this kind .	también existen acuerdos contra semejante impuesto .
that is why my group moves that this item be taken off the agenda .	por consiguiente , mi grupo solicita que se suprima este punto del día .
thank you , mr poettering .	gracias , señor poettering .
we shall now hear mr wurtz speaking against this request .	escuchemos ahora al sr. wurtz , que hablará en contra de la petición .
madam president , i would firstly like to point out mr poettering ' s lack of logic . he has	señora presidenta , ante todo quiero subrayar la falta de lógica del señor poettering , que acaba de dar una
we discussed that matter and we were unanimous , with the exception of the ppe and eldr groups . as	hemos discutido , expresamos unanimidad , con excepción de los grupos del ppe y del partido europeo de los liberales
it is not a lot to ask .	no es pedir demasiado .
i therefore repeat the proposal that this oral question to the commission and the council should be retained so that	por lo tanto , reitero la propuesta de mantener esta pregunta oral a la comisión y al consejo para saber
we shall proceed to vote on the ppe-de group ' s request that the oral question regarding the capital tax	se vota la propuesta del grupo ppe-de para retirar del orden del día la pregunta oral referida al impuesto sobre
( parliament rejected the request , with 164 votes for , 166 votes against and 7 abstentions )	( el parlamento rechaza la propuesta por 164 votos a favor , 166 votos en contra y 7 abstenciones )
madam president , i would like to thank mr poettering for advertising this debate .	señora presidenta , quiero agradecer al señor poettering la publicidad que acaba de dar a este debate .
thank you very much .	gracias .
madam president , has my vote been counted ? i was unable to vote electronically , since i do not	señora presidenta , ¿se ha contabilizado mi voto , que no ha podido ser realizado electrónicamente , porque no tengo
my vote was `` in favour '' .	mi voto era `` a favor '' .
madam president , the presidency has already declared the result of the vote .	señora presidenta , la presidencia ha proclamado el resultado de la votación .
there is no room for amendments .	no caben modificaciones .
madam president , in the earlier vote - and i will abide by your ruling on this matter - on	señora presidenta , en la votación anterior -y me atendré a su decisión en este asunto- sobre la cuestión del
that did not happen .	esto no ha ocurrido .
i would appreciate it if , on the close of this item of business , i might be allowed to	le agradecería que , al cierre de este punto , se me permitiera dar una explicación del voto en nombre
this is an important matter .	es un asunto importante .
it would be useful for the record of the house to state how people perceive what we have just done	sería útil que el historial de la cámara registrara cómo percibe la gente lo que hemos hecho a la luz
madam president , i do not wish to reopen the debate , but i had also asked for the floor	señora presidenta , no deseo reanudar el debate , pero había pedido también la palabra para dar mi opinión acerca
you did not call me either .	tampoco me ha nombrado usted .
i regret this , but the vote has already been taken and the decision is made so let us leave	lo lamento , pero la votación se ha realizado , se ha adoptado la decisión y , por consiguiente ,
i am terribly sorry , mr hänsch and mr cox . i did not see you asking to speak .	lo siento mucho , señor hänsch , señor cox , no he advertido que ustedes pedían la palabra .
even so , i think the positions are quite clear and they shall be entered in the minutes .	en estas circunstancias , creo que las posiciones están claras y que se reflejarán en el acta .
when we adopt the minutes for today ' s sitting tomorrow , then any members who think the positions have	cuando mañana se trate la aprobación del acta de la sesión de hoy , si sus señorías estiman que las
this seems to me to be a workable solution .	creo que es una buena fórmula .
of course , the minutes for tomorrow ' s sitting will take into account any additional explanations .	por supuesto que el acta de la sesión de mañana consignará todas las explicaciones complementarias .
i think this is a better solution than proceeding now to extremely time-consuming explanations of votes .	creo que esta fórmula es mejor que la de proceder ahora a unas explicaciones de voto que nos llevarían mucho
mr cox , mr hänsch , would this be acceptable to you ?	sr. hänsch , sr. cox , ¿les parece bien ?
madam president , if the vote records correctly how my group voted i shall not , and can not ,	señora presidenta , si en el registro de la votación consta correctamente cómo ha votado mi grupo , ni quiero
if your ruling is that i can not give an explanation of vote , i accept that but with reservations	si su decisión es que no podemos explicar nuestro voto , la acataré , pero no sin reservas .
safety advisers for the transport of dangerous goods	consejeros de seguridad para el transporte de mercancías peligrosas
the next item is the report ( a5-0105/1999 ) by mr koch , on behalf of the committee on regional	de conformidad con el orden del día , se procede al debate de la recomendación para la segunda lectura (
commissioner , madam president , ladies and gentlemen , i can be quite frank in saying that i welcome the	. ( de ) distinguida señora comisaria , distinguida señora presidenta , estimados colegas , celebro sobremanera la posición común
firstly , we needed to take action on a formal level in order to meet the requirements of directive 96/35/ec	en primer lugar : hemos tenido que actuar en el terreno formal para satisfacer las exigencias de la directiva 96/35/ce
secondly , by adopting this directive we achieve a ) an increase in safety when dangerous goods are both transported	en segundo lugar : con esta directiva pretendemos : a ) aumentar la seguridad tanto en el transporte como en
thirdly , this directive , as it currently stands in the common position , guarantees - in particular because it	en tercer lugar , con la directiva , tal como se presenta ahora como posición común y , en especial
all of this is in accordance with the principle of subsidiarity and is therefore to be greatly welcomed .	hay que celebrar extraordinariamente todo esto en el sentido de la subsidiariedad .
our amendments from the first reading have , i believe , been taken into account very satisfactorily .	considero que se han tenido satisfactoriamente en cuenta nuestras enmiendas de la primera lectura .
they have either been accepted or transposed with no change in the substance , or they have been rejected because	han sido aceptadas , se han puesto en práctica adecuadamente o no se han asumido porque no se aceptaron las
the one unanimously adopted amendment of the committee on regional policy and transport , which concerns the timetable for implementing	pido la conformidad de ustedes para una enmienda de la comisión de política regional y turismo , que ha sido
by not setting a specific date for the member states to implement the directive and instead giving them a period	en la medida que no imponemos a los estados miembros ninguna fecha para la puesta en práctica de la directiva
i would urge you to endorse this .	pido la conformidad de ustedes .
madam president , we can not and must not accept the fact that we hear ever more frequently of accidents	señora presidenta , no podemos ni debemos acostumbrarnos a escuchar cada vez con más frecuencia noticias de accidentes en carretera
as an austrian , i still have a vivid memory , as , i believe , we all do ,	yo como austríaco , pero creo que todos nosotros tenemos aún un vivo recuerdo de la catástrofe que el año
the renovation project , which lasted for months , cut off this important route between the north and south of	este reacondicionamiento , que duró varios meses , cortó esta importante vía de transporte entre el norte y el sur
the traffic which had to be diverted because of this stretched the patience of many thousands of people in the	el desvío consiguiente del transporte por esta causa llevó hasta el límite de lo soportable a muchos miles de ciudadanos
in fact , all hell broke loose in some municipalities in my province .	en determinadas localidades de mi país se produjo realmente una situación caótica .
prevention has to be our answer to disasters of this kind and this draft directive is an important step towards	la prevención debe ser nuestra respuesta a semejantes catástrofes , y con el presente proyecto de directiva establecemos una base
all the same , we must not content ourselves with enacting european law to ensure greater safety .	naturalmente , no podemos contentarnos con crear derecho europeo en interés de una mayor seguridad .
we also need to follow this up and make sure that our rules are transposed by the member states in	también hemos de procurar consecuentemente que nuestros objetivos sean incorporados a las legislaciones nacionales por los estados miembros en los
please let this not be yet another sector where we subsequently have to lament the lack of enforcement .	por favor , que éste no sea otro ámbito en el que luego tengamos que lamentar un déficit de ejecución
i should like to address one final point . we must not content ourselves with sealing another hole in the	quisiera referirme a un último punto : no debemos contentarnos con cerrar otro agujero en la red de la seguridad
in this context , i should like to make a request and ask the commissioner responsible , who is with	a este respecto quiero reclamar y pedir a la comisaria competente , que se encuentra aquí , que presente lo
madam president , first of all i should like to thank mr koch for his report which has , at	señora presidenta , en primer lugar quisiera agradecer el informe del sr. koch que se ha centrado en el asunto
the report looks at the issue of harmonising the examination requirements for safety advisors working in the areas of transportation	el informe trata de la cuestión de armonizar los requisitos de examen para los consejeros de seguridad que desempeñan su
i congratulate him on his excellent report .	le felicito por su excelente informe .
transport safety has sadly been in the news recently : the paddington rail crash in london , the terrible rail	por desgracia , la seguridad en el transporte ha sido noticia recientemente : el accidente ferroviario de paddington , en
the rapporteur has pointed out to the house that in its common position the council has accepted six of parliament	el ponente ha señalado a la cámara que el consejo ha aceptado en su posición común seis de las diez
my group will therefore support the common position and looks forward to the enactment of the legislation which will provide	por lo tanto , mi grupo va a apoyar esa posición común y espera que se adopte una legislación que
when it comes to safety my group will always support any initiatives to improve transport safety .	cuando se trata de seguridad mi grupo siempre apoyará iniciativas que aumenten la seguridad en el transporte .
we still have a lot of work to do in this area as recent events have proved .	como han demostrado los sucesos recientes , aún nos queda mucho por hacer sobre este tema .
madam president , i would like to make a few comments .	señora presidenta , quisiera hacer algunas observaciones .
i would like , first of all , to thank the rapporteur for his exceptionally accurate and technical work on	en primer lugar , quiero agradecer al ponente su labor extraordinariamente precisa y técnica en este informe , y en
we are concerned here with the harmonisation of examination requirements but also , in fact , with minimum requirements .	se trata de la armonización de los requisitos de los exámenes , pero de hecho estamos hablando de los requisitos
this is a pity , in a sense .	es una pena en cierto sentido .
needless to say , safety on roads , railways and inland waterways is of key importance and , given the	la importancia de la seguridad del transporte por carretera , por ferrocarril y por vía navegable es naturalmente muy grande
this is important , but so is enforcement and there are , of course , a number of reasons why	eso es importante , pero también lo es el control y hay por supuesto varios motivos por los que debemos
just think of the road accidents which have occurred over recent years , for example in belgium , the netherlands	fíjense en los accidentes en la carretera de los últimos años . por ejemplo en bélgica , los países bajos
or ships from eastern europe which moor adjacent to ships over here , with all the obvious risks that this	o barcos procedentes de europa oriental atracados al lado de otras embarcaciones donde se da una situación de peligro más
furthermore , it has transpired that research in the ports in belgium , finland , but also in japan has	además , se desprende de las investigaciones realizadas en los puertos en bélgica , en finlandia , pero también en
in short , the issue is an important one .	dicho de otra forma , es de gran importancia .
if we look at the situation where safety advisers are concerned , in a number of countries it is compulsory	al contemplar la situación de los consejeros de seguridad , vemos que en algunos países es obligatorio contar en las
there will be major problems with enforcing this rule at present , especially with smaller companies , as these can	en este momento esto provoca grandes problemas de control especialmente en las empresas pequeñas , porque no lo pueden pagar
these smaller companies either dispose of their cargo or mix it with other cargo , which causes problems .	entonces , o rechazarán estas mercancías o las mezclarán con otras y eso causará algunos problemas .
it is therefore also being requested that iso 9002 certificates possibly include the finer details of these activities in the	por ello , se está pidiendo una evaluación de esas actividades en forma de informes anuales , análisis de empresas
the work is done . all that remains is the business of enforcement .	las reglas están , ahora queda el control .
i would like to mention one final point .	permítanme que mencione una última cuestión .
with regard to enforcement , proper agreements must also be concluded with the eastern european countries because they will not	respecto al control , hemos de llegar a unos buenos acuerdos con los países de europa oriental , porque hasta
this gives them a competitive edge for the interim period .	esto les da una ventaja competitiva temporal .
this is not in itself anything dreadful , but we should prioritise particularly the safety aspects for goods transported by	no es grave en sí , pero lo que deberíamos hacer especialmente es dar prioridad a los aspectos de seguridad
madam president , the importance of transport safety is highlighted on a regular basis in this parliament and rightly so	señora presidenta , en este parlamento con razón se presta atención regularmente a la importancia de la seguridad en el
the ever increasing volume of goods passing through europe entails all kinds of risks , known and unknown , for	las cantidades crecientes de mercancías que pasan por europa , conllevan riesgos de los que somos conscientes y a veces
those having to deal with these risks should therefore meet stringent requirements .	las personas que tienen que manejar estos riesgos , deben cumplir por lo tanto unos altos requisitos .
the relevant standards which have been laid down in another directive , 95/35/ec , seem sufficiently adequate to advise people	las normas que para ello se han redactado en otra directiva , la 95/35/ce , parecen lo suficientemente adecuadas para
i am very pleased that agreement has also been reached with the council on minimum standards regarding examinations , although	me alegro de que haya también un acuerdo con el consejo sobre los requisitos mínimos para su examen , aunque
this , however , does not seem feasible .	esto , no obstante , no fue posible .
finally , the amendment tabled by the rapporteur is perfectly logical and i can , therefore , give it my	por último , la enmienda que ha presentado el ponente , me parece más que lógica y , por lo
mr president , commissioner , i should first like to congratulate mr koch on his reports which , though technical	señor presidente , señora comisaria , estimados colegas , ante todo , quisiera felicitar a nuestro colega , el sr.
i should like to make just a few comments .	deseo hacer solamente unas puntualizaciones .
firstly , i should like to ask the commissioner - and i am convinced that my request will fall on	en primer lugar , quiero pedir a la sra . comisaria -y estoy seguro de que mi deseo cae en
considering that it is only today that we are dealing with a commission proposal first made on 19 march 1998	cuando veo que la primera enmienda de la comisión fue presentada el 19 de marzo de 1998 y que nos
this is not just the fault of the commission , but i believe that we need to take action more	esto no es ahora culpa de la comisión solamente , pero creo que debemos reaccionar con mayor rapidez y lograr
my second point has already been mentioned : it concerns the minimum standards .	el segundo punto también ha sido mencionado ya : las normas mínimas .
in principle , i believe that in many cases where transport is concerned we should be working towards increased flexibility	fundamentalmente , soy de la opinión de que en muchos ámbitos del transporte habría que aspirar a una mayor flexibilidad
however , when it comes to safety , i am rather sceptical because safety in sweden , for example ,	en el caso de la seguridad soy un tanto escéptico porque la seguridad en suecia , por ejemplo , no
i can live with these minimum standards , but i would ask the commission to monitor the situation very carefully	puedo vivir con estas normas mínimas , pero pido a la comisión que haga un seguimiento real y cuidadoso de
should flexibility of this kind result in there being inadequate rules in some countries then we should work towards greater	si este tipo de flexibilidad condujera en algunos países a regulaciones insuficientes , deberíamos emprender una armonización ulterior .
my third point has also been mentioned already . as you know , like mr rack , i come from	el tercer punto ha sido mencionado también : igual que nuestro colega , el sr. rack , procedo de un
we do not want to make the conditions of competition worse for some countries unilaterally and improve them for countries	no queremos empeorar las condiciones de la competencia de manera unilateral para algunos países y mejorarlas para países como austria
but i believe that we should do all we can to keep the transport of dangerous goods to a minimum	pero creo que todos debemos hacer todo lo posible para restringir el transporte de mercancías peligrosas y , por cierto
mr president , i would firstly like to congratulate the rapporteur , mr koch , on his magnificent work and	. señor presidente , en primer lugar quiero felicitar al ponente , sr. koch , por su magnífico trabajo y
we understand that it is important that the two institutions - parliament and commission - cooperate and work together and	entendemos que es importante la colaboración , el trabajo en común por parte de las dos instituciones -parlamento y comisión-
the common position includes practically all of the amendments accepted by the commission and harmonises the minimum examination requirements for	la posición común incluye prácticamente todas las enmiendas aceptadas por la comisión , armoniza los requisitos mínimos de los exámenes
very briefly , i would like to thank the various members for their interventions and to tell you that safety	brevísimamente , quiero agradecer también la intervención de los distintos diputados y decirles a sus señorías que la seguridad es
as mr simpson has said very correctly , this is a process which we can never take for granted or	y como muy bien ha dicho el sr. simpson , nunca se puede dar por sentado o por adquirido o
the process of increasing safety margins and safety guarantees in transport is a process which must be improved day by	el proceso de incrementar los márgenes , las garantías de seguridad en los transportes es un proceso que hay que
in this regard , i would also like to refer very briefly to the problems of the tunnels , which	en ese sentido , quiero referirme también muy brevemente a los problemas de los túneles , a que han hecho
in one of the worst accidents to have occurred recently , the goods being transported were not dangerous in themselves	en uno de los grandes accidentes ocurridos últimamente , la mercancía transportada no era en sí peligrosa .
margarine and a few kilos of paint which , in principle , do not present risks , led to a	la margarina y unos kilos de pintura que , en principio , no planteaban riesgos , provocaron una verdadera catástrofe
therefore , we will have to see how the requirements guaranteeing the maximum degree of safety can be further improved	por lo tanto , hay que ver cómo se pueden afinar todavía más las exigencias que permitan garantizar un máximo
finally , i would like to say that we have to consider safety in all types of transport .	por último , quisiera decir que hay que contemplar la seguridad en todos los tipos de transporte .
this week we will be holding a debate here on the safety of sea transport , in light of the	esta semana celebraremos aquí un debate para hablar de la seguridad del transporte marítimo , debido a la catástrofe del
but i would like to say that safety is a priority objective for the commission .	pero quiero decir , señorías , que la seguridad es un objetivo prioritario de la comisión .
as i will say in the debate on the erika disaster , we do not wait until there is a	como diré en el debate sobre el erika , no esperamos a que haya una catástrofe para volcarnos sobre el
i would like to repeat my appreciation to all the speakers and especially to the rapporteur , mr koch .	quiero reiterar mi agradecimiento a todos los que han intervenido y muy especialmente al ponente , sr. koch .
the debate is closed .	el debate queda cerrado .
the vote will take place tomorrow at 12 p.m .	la votación tendrá lugar mañana a las 12.00 horas .
transport of dangerous goods by road	transporte de mercancías peligrosas por carretera
the next item is the report ( a5-0104/1999 ) by mr koch , on behalf of the committee on regional	de conformidad con el orden del día se procede al debate del informe ( a5-0104/1999 ) del sr. koch ,
mr president , commissioner , ladies and gentlemen , the directive on the approximation of the laws of the member	señor presidente , distinguida señora comisaria , estimados colegas , la directiva relativa a la aproximación de las legislaciones de
delays in the cen ' s work are now making it difficult to apply this very directive .	ahora bien , algunos aplazamientos que se han producido en los trabajos del cen están originando problemas a la hora
in particular , annexes can not be adapted to take account of technical and industrial developments .	en especial , no es posible adaptar los anexos de acuerdo con el desarrollo técnico e industrial .
i regret this since we are having to take action because others have not done their job .	lamento esto , pues debemos actuar porque otros no han realizado su trabajo .
in this respect , i accept this proposal to amend directive 94/55/ec which has been tabled for discussion today .	en este sentido acepto la presente propuesta , que hoy se somete a debate , sobre la modificación de la
should the european union fail to take action , then member states would be obliged to amend their national legislation	la inactividad de la unión europea obligaría a los estados miembros a modificar sus normas jurídicas intraestatales para un corto
